Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
1,104,Picture,T3_1_2_Loesung_9_Entscheidung:_falsch,1983247,0,2,168,3,0,next,other,0
1,105,Picture,T3_FB_corr__entscheidung:_falsch__CorEnt_F,1983415,0,1,1170,2,0,next,other,0
1,106,Picture,Buchstabe,1996788,2173,1,7857,2,2000,next,other,0
1,107,Picture,T3_1_Sequenz_FS,2014675,0,1,1170,2,0,next,other,0
1,107,Response,1,2037747,23072,2,,,,,,
1,108,Picture,T3_1_BS_seq:_F,2038078,0,1,167,2,0,next,other,0
1,108,Response,1,2046205,8127,2,,,,,,
1,109,Picture,T3_1_BS_seq:_FS,2046436,0,1,167,2,0,next,other,0
1,109,Response,1,2055797,9361,2,,,,,,
1,110,Picture,FB_corr,2060812,5000,1,10030,2,5000,next,other,0
1,111,Picture,T3_2_1_Gleichung:_(3*1)+5=?,2080872,0,1,26579,2,0,next,other,0
1,111,Response,1,2107367,26495,1,,,,,,
1,111,Response,1,2120156,39284,1,,,,,,
1,112,Picture,T3_2_1_Loesung_8_Entscheidung:_richtig,2120323,0,1,167,2,0,next,other,0
1,113,Picture,T3_FB_corr__entscheidung:_richtig__CorEnt_R,2120490,0,1,1170,2,0,next,other,0
1,114,Picture,Buchstabe,2133863,2173,1,7857,2,2000,next,other,0
1,115,Picture,T3_2_2_Gleichung:_(1*2)+5=?,2141720,0,1,26747,2,0,next,other,0
1,115,Response,1,2168316,26596,2,,,,,,
1,115,Response,1,2193384,51664,100,,,,,,
1,116,Picture,T3_2_2_Loesung_6_Entscheidung:_falsch,2193709,0,1,167,2,0,next,other,0
1,117,Picture,T3_FB_corr__entscheidung:_falsch__CorEnt_F,2193876,0,1,1170,2,0,next,other,0
1,118,Picture,Buchstabe,2207249,2173,1,7857,2,2000,next,other,0
1,119,Picture,T3_2_Sequenz_PF,2225136,0,1,1170,2,0,next,other,0
1,119,Response,1,2243609,18473,2,,,,,,
1,120,Picture,T3_2_BS_seq:_P,2243858,0,1,167,2,0,next,other,0
1,120,Response,1,2250623,6765,2,,,,,,
1,121,Picture,T3_2_BS_seq:_PF,2250879,0,1,167,2,0,next,other,0
1,121,Response,1,2260216,9337,2,,,,,,
1,122,Picture,FB_corr,2265255,5000,1,10030,2,5000,next,other,0
1,123,Picture,T3_3_1_Gleichung:_(1*9)-5=?,2285315,0,1,30424,2,0,next,other,0
1,123,Response,1,2315711,30396,1,,,,,,
1,123,Response,1,2328287,42972,111,,,,,,
1,124,Picture,T3_3_1_Loesung_4_Entscheidung:_richtig,2328611,0,1,167,2,0,next,other,0
1,125,Picture,T3_FB_corr__entscheidung:_richtig__CorEnt_R,2328778,0,1,1170,2,0,next,other,0
1,126,Picture,Buchstabe,2342151,2173,1,7857,2,2000,next,other,0
1,127,Picture,T3_3_2_Gleichung:_(7*2)-4=?,2350008,0,1,75224,2,0,next,other,0
1,127,Response,1,2425124,75116,2,,,,,,
1,127,Response,1,2445637,95629,113,,,,,,
1,128,Picture,T3_3_2_Loesung_9_Entscheidung:_falsch,2445961,0,1,167,2,0,next,other,0
1,129,Picture,T3_FB_corr__entscheidung:_falsch__CorEnt_F,2446128,0,1,1170,2,0,next,other,0
1,130,Picture,Buchstabe,2459501,2173,1,7857,2,2000,next,other,0
1,131,Picture,T3_3_Sequenz_JR,2477388,0,1,1170,2,0,next,other,0
1,131,Response,1,2518138,40750,1,,,,,,
1,132,Picture,T3_3_BS_seq:_J,2518343,0,2,168,3,0,next,other,0
1,132,Response,1,2524532,6189,2,,,,,,
1,133,Picture,T3_3_BS_seq:_JR,2524863,0,1,167,2,0,next,other,0
1,133,Response,1,2548668,23805,2,,,,,,
1,134,Picture,FB_corr,2553782,5000,2,10030,3,5000,next,other,0
1,135,Picture,Start_Test,2573842,0,1,81410,2,0,next,other,0
1,135,Response,1,2655183,81341,2,,,,,,
1,136,Picture,Test_Setgroesse_7,2655252,0,1,1170,2,0,next,other,0
1,137,Picture,Test_1_1_1_Gleichung:_(2*3)-4,2656422,0,1,61349,3,0,next,other,0
1,137,Response,1,2717679,61257,1,,,,,,
1,137,Response,1,2735334,78912,87,,,,,,
1,138,Picture,Test_1_1_1_Loesung_1_Entscheidung:_falsch,2735658,0,1,167,2,0,next,other,0
1,139,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,2735825,0,1,1171,2,0,next,other,0
1,140,Picture,Buchstabe,2749199,2174,1,7856,2,2000,next,other,0
1,141,Picture,Test_1_1_2_Gleichung:_(8/1)-2,2757055,0,1,63189,2,0,next,other,0
1,141,Response,1,2820185,63130,2,,,,,,
1,141,Response,1,2834797,77742,139,,,,,,
1,142,Picture,Test_1_1_2_Loesung_6_Entscheidung:_richtig,2835122,0,1,167,2,0,next,other,0
1,143,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,2835289,0,1,1170,2,0,next,other,0
1,144,Picture,Buchstabe,2848662,2173,1,7857,2,2000,next,other,0
1,145,Picture,Test_1_1_3_Gleichung:_(3/1)+2,2856519,0,1,39952,2,0,next,other,0
1,145,Response,1,2896294,39775,1,,,,,,
1,145,Response,1,2911349,54830,1,,,,,,
1,146,Picture,Test_1_1_3_Loesung_5_Entscheidung:_richtig,2911516,0,1,167,2,0,next,other,0
1,147,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,2911683,0,1,1170,2,0,next,other,0
1,148,Picture,Buchstabe,2925056,2173,2,7857,3,2000,next,other,0
1,149,Picture,Test_1_1_4_Gleichung:_(3/1)+7,2932913,0,1,80239,3,0,next,other,0
1,150,Picture,Test_FB_miss,3023182,5000,1,10030,2,5000,next,other,0
1,150,Response,1,3028393,10211,1,,,,,,
1,151,Picture,Buchstabe,3045415,2173,1,7857,2,2000,next,other,0
1,152,Picture,Test_1_1_5_Gleichung:_(3*2)+1,3053272,0,1,34770,3,0,next,other,0
1,152,Response,1,3087902,34630,2,,,,,,
1,152,Response,1,3108447,55175,83,,,,,,
1,153,Picture,Test_1_1_5_Loesung_5_Entscheidung:_falsch,3108771,0,1,167,2,0,next,other,0
1,154,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3108938,0,1,1170,2,0,next,other,0
1,155,Picture,Buchstabe,3122311,2173,1,7857,2,2000,next,other,0
1,156,Picture,Test_1_1_6_Gleichung:_(1*3)+1,3130168,0,1,28251,2,0,next,other,0
1,156,Response,1,3158345,28177,1,,,,,,
1,156,Response,1,3176149,45981,41,,,,,,
1,157,Picture,Test_1_1_6_Loesung_5_Entscheidung:_falsch,3176473,0,1,167,2,0,next,other,0
1,158,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3176640,0,1,1170,2,0,next,other,0
1,159,Picture,Buchstabe,3190013,2173,1,7857,2,2000,next,other,0
1,160,Picture,Test_1_1_7_Gleichung:_(6*2)-2,3197870,0,1,42460,2,0,next,other,0
1,160,Response,1,3240225,42355,2,,,,,,
1,160,Response,1,3254045,56175,2,,,,,,
1,161,Picture,Test_1_1_7_Loesung_4_Entscheidung:_falsch,3254372,0,1,167,2,0,next,other,0
1,162,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3254539,0,1,1170,2,0,next,other,0
1,163,Picture,Buchstabe,3267912,2173,1,7857,2,2000,next,other,0
1,164,Picture,Test_1_1_Gl_cor:_85_Setgr_7_Sequenz_KTJQNHS,3285799,0,1,1170,2,0,next,other,0
1,164,Response,1,3336450,50651,2,,,,,,
1,165,Picture,Test_1_1_BS_seq:_K,3336617,0,1,167,2,0,next,other,0
1,165,Response,1,3345424,8807,1,,,,,,
1,166,Picture,Test_1_1_BS_seq:_KT,3345644,0,1,167,2,0,next,other,0
1,166,Response,1,3398852,53208,1,,,,,,
1,167,Picture,Test_1_1_BS_seq:_KTJ,3399137,0,1,167,2,0,next,other,0
1,167,Response,1,3407206,8069,2,,,,,,
1,168,Picture,Test_1_1_BS_seq:_KTJQ,3407495,0,1,167,2,0,next,other,0
1,168,Response,1,3418861,11366,2,,,,,,
1,169,Picture,Test_1_1_BS_seq:_KTJQH,3419030,0,1,167,2,0,next,other,0
1,169,Response,1,3430102,11072,2,,,,,,
1,170,Picture,FB_inco,3435412,5000,1,45134,3,5000,next,other,0
1,171,Picture,Test_Setgroesse_3,3490576,0,1,1170,3,0,next,other,0
1,172,Picture,Test_1_2_1_Gleichung:_(3*2)+2,3491746,0,2,43129,3,0,next,other,0
1,172,Response,1,3534779,43033,1,,,,,,
1,172,Response,1,3550599,58853,65,,,,,,
1,173,Picture,Test_1_2_1_Loesung_10_Entscheidung:_falsch,3550923,0,1,167,2,0,next,other,0
1,174,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3551090,0,1,1170,2,0,next,other,0
1,175,Picture,Buchstabe,3564463,2173,1,7857,2,2000,next,other,0
1,176,Picture,Test_1_2_2_Gleichung:_(6/1)-4,3572320,0,1,17051,2,0,next,other,0
1,176,Response,1,3589237,16917,2,,,,,,
1,176,Response,1,3602921,30601,138,,,,,,
1,177,Picture,Test_1_2_2_Loesung_1_Entscheidung:_falsch,3603246,0,1,167,2,0,next,other,0
1,178,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3603413,0,1,1170,2,0,next,other,0
1,179,Picture,Buchstabe,3616786,2173,1,7857,2,2000,next,other,0
1,180,Picture,Test_1_2_3_Gleichung:_(3*4)-5,3624643,0,1,31594,2,0,next,other,0
1,180,Response,1,3656169,31526,1,,,,,,
1,180,Response,1,3673799,49156,108,,,,,,
1,181,Picture,Test_1_2_3_Loesung_7_Entscheidung:_richtig,3674124,0,1,167,2,0,next,other,0
1,182,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,3674291,0,1,1170,2,0,next,other,0
1,183,Picture,Buchstabe,3687664,2173,1,7857,2,2000,next,other,0
1,184,Picture,Test_1_2_Gl_cor:_90_Setgr_3_Sequenz_YJN,3705551,0,1,1170,2,0,next,other,0
1,184,Response,1,3729190,23639,1,,,,,,
1,185,Picture,Test_1_2_BS_seq:_Y,3729455,0,2,168,3,0,next,other,0
1,185,Response,1,3743939,14484,2,,,,,,
1,186,Picture,Test_1_2_BS_seq:_YJ,3744166,0,1,167,2,0,next,other,0
1,186,Response,1,3749715,5549,2,,,,,,
1,187,Picture,Test_1_2_BS_seq:_YJN,3750017,0,1,167,2,0,next,other,0
1,187,Response,1,3782619,32602,1,,,,,,
1,188,Picture,FB_corr,3787796,5000,1,10030,2,5000,next,other,0
1,189,Picture,Test_Setgroesse_6,3807856,0,1,1170,2,0,next,other,0
1,190,Picture,Test_1_3_1_Gleichung:_(3*2)+4,3809026,0,1,32597,2,0,next,other,0
1,190,Response,1,3841511,32485,1,,,,,,
1,190,Response,1,3859854,50828,18,,,,,,
1,191,Picture,Test_1_3_1_Loesung_9_Entscheidung:_falsch,3860179,0,1,167,2,0,next,other,0
1,192,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3860346,0,1,1170,2,0,next,other,0
1,193,Picture,Buchstabe,3873719,2173,1,7857,2,2000,next,other,0
1,194,Picture,Test_1_3_2_Gleichung:_(7*1)+2,3881576,0,1,13875,2,0,next,other,0
1,194,Response,1,3895352,13776,2,,,,,,
1,194,Response,1,3911341,29765,103,,,,,,
1,195,Picture,Test_1_3_2_Loesung_9_Entscheidung:_richtig,3911666,0,1,167,2,0,next,other,0
1,196,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,3911833,0,1,1170,2,0,next,other,0
1,197,Picture,Buchstabe,3925205,2172,2,7858,3,2000,next,other,0
1,198,Picture,Test_1_3_3_Gleichung:_(1*4)+2,3933063,0,1,44298,3,0,next,other,0
1,198,Response,1,3977247,44184,1,,,,,,
1,198,Response,1,3998769,65706,138,,,,,,
1,199,Picture,Test_1_3_3_Loesung_2_Entscheidung:_falsch,3999093,0,1,167,2,0,next,other,0
1,200,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,3999260,0,1,1170,2,0,next,other,0
1,201,Picture,Buchstabe,4012633,2173,1,7857,2,2000,next,other,0
1,202,Picture,Test_1_3_4_Gleichung:_(2/2)+6,4020490,0,1,27415,2,0,next,other,0
1,202,Response,1,4047793,27303,2,,,,,,
1,202,Response,1,4059951,39461,13,,,,,,
1,203,Picture,Test_1_3_4_Loesung_7_Entscheidung:_richtig,4060275,0,1,168,2,0,next,other,0
1,204,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,4060443,0,1,1170,2,0,next,other,0
1,205,Picture,Buchstabe,4073816,2173,1,7857,2,2000,next,other,0
1,206,Picture,Test_1_3_5_Gleichung:_(2/1)+8,4081673,0,1,32597,2,0,next,other,0
1,206,Response,1,4114106,32433,1,,,,,,
1,206,Response,1,4128026,46353,2,,,,,,
1,207,Picture,Test_1_3_5_Loesung_9_Entscheidung:_falsch,4128312,0,1,167,2,0,next,other,0
1,208,Picture,Test_FB_corr__entscheidung:_falsch__CorEnt_F,4128479,0,1,1170,2,0,next,other,0
1,209,Picture,Buchstabe,4141852,2173,1,7857,2,2000,next,other,0
1,210,Picture,Test_1_3_6_Gleichung:_(2*4)+1,4149709,0,1,48143,2,0,next,other,0
1,210,Response,1,4197838,48129,1,,,,,,
1,210,Response,1,4211570,61861,87,,,,,,
1,211,Picture,Test_1_3_6_Loesung_9_Entscheidung:_richtig,4211894,0,1,167,3,0,next,other,0
1,212,Picture,Test_FB_corr__entscheidung:_richtig__CorEnt_R,4212061,0,2,1171,3,0,next,other,0
1,213,Picture,Buchstabe,4225435,2174,1,7856,2,2000,next,other,0
1,214,Picture,Test_1_3_Gl_cor:_93_Setgr_6_Sequenz_NHKPRJ,4243321,0,1,1170,3,0,next,other,0
1,214,Response,1,4284983,41662,1,,,,,,
1,215,Picture,Test_1_3_BS_seq:_N,4285280,0,1,167,2,0,next,other,0
1,215,Response,1,4291685,6405,2,,,,,,
1,216,Picture,Test_1_3_BS_seq:_NH,4291966,0,1,168,2,0,next,other,0
1,216,Response,1,4296738,4772,2,,,,,,
1,217,Picture,Test_1_3_BS_seq:_NHK,4296981,0,1,168,2,0,next,other,0
1,217,Response,1,4308084,11103,2,,,,,,
1,218,Picture,Test_1_3_BS_seq:_NHKP,4308349,0,1,167,2,0,next,other,0
1,218,Response,1,4323658,15309,2,,,,,,
1,219,Picture,Test_1_3_BS_seq:_NHKPJ,4323895,0,1,167,2,0,next,other,0
1,219,Response,1,4333250,9355,1,,,,,,
1,220,Picture,FB_inco,4338438,5000,1,45135,2,5000,next,other,0
1,221,Picture,Test_Setgroesse_5,4393603,0,1,1170,2,0,next,other,0
1,222,Picture,Test_1_4_1_Gleichung:_(1*3)-2,4394773,0,1,23069,2,0,next,other,0
1,222,Response,1,4417706,22933,2,,,,,,
1,222,Response,1,4431727,36954,109,,,,,,
1,223,Picture,Test_1_4_1_Loesung_1_Entscheidung:_richtig,4432051,0,1,167,2,0,next,other,0
